ID                       FIRST NAME               LAST NAME                DESTINATION              AIRPORT ARRIVAL          DESTINATION ARRIVAL      CLASS
67557Y0452Z5O39Z         DEXTER                   LANCE                    OSLO                     0                        931                      B
8687661142Z432V38        SUSAN                    SCOFIELD                 NEWCASTLE                0                        962                      B
8097060366V74Z7GL        LAUREL                   FLOOD                    PERTH                    0                        26                       B
739026U9K2I1263326       CLARK                    ORGANA                   MARSEILLE                0                        1355                     B
92094T31318257Y1         REED                     XAVIER                   BASEL                    0                        97                       B
OC1W4875C804P1M05        WALTER                   MILLAY                   GLASGOW                  0                        166                      B
750261267GH4841          LANA                     HOOPER                   MYTILENE                 0                        1202                     B
283N3J934881XVP          WALTER                   BING                     ZAGREB                   0                        1366                     B
C679QW92201BP53946       COURTNEY                 BURROWS                  MANCHESTER               0                        838                      B
8PX96JU83W192A6P4        LAURIE                   ALDERSON                 CORFU                    0                        449                      B
110612728G27902          LEIA                     PARKER                   NAPOLI                   0                        1338                     B
C794Y5PU895100429        REED                     MORGAN                   MONACO                   0                        389                      B
O0P41Q694883382          SHERLOCK                 OSWALD                   ANKARA                   0                        1070                     B
84893EH7B56S17           JEAN                     QUINN                    LEEDS                    0                        407                      B
2420U059U7I809           FLOYD                    WHEELER                  NICOSIA                  0                        588                      B
59507852852996           REMY                     XAVIER                   MELBOURNE                0                        4                        B
0617180722866U0C         MICHAEL                  BUFFAY                   BRUSSELS                 0                        562                      B
E74R1017A576743          ELLIOT                   HALLER                   MONACO                   0                        1380                     B
0565Y171730J1H           PHOEBE                   PARKER                   MUNICH                   0                        143                      B
158156T8264T6            RAVEN                    BUFFAY                   LAGOS                    0                        1160                     B
762358A992993R5912       RICHARD                  ABERNATHY                BRISTOL                  0                        812                      B
956069F2935893           MARY                     MURDOCK                  FRANKFURT                0                        1130                     B
98196R5Y1165837K35       BETH                     MOSS                     CAIRO                    0                        993                      B
5H8988R416TSQ            MELINDA                  OSWALD                   INSTABUL                 0                        761                      B
005O33007Y3245P          MICHAEL                  TRIBBIANI                LUXEMBURG                0                        1109                     B
81560GY332590I105        LUKE                     DARKHOLME                MONACO                   0                        1214                     B
539AX8K92A6036           FELICITY                 CRIMSON                  BILBAO                   0                        246                      B
10108I3C987Y42LD         HANNIBAL                 SHELBY                   JERUSALEM                0                        1155                     B
5R26K302115903R          BARBARA                  STARK                    MYTILENE                 0                        460                      B
L73271HY643KL5           CLARK                    MILLAY                   BOLOGNA                  0                        1344                     B
ML7P1241383I093I3        LUKE                     LANG                     NICOSIA                  0                        803                      B
8Y23154229407            ERIC                     BUFFAY                   MALAGA                   0                        360                      B
38479636Q4645F344        MARIE                    QUINN                    MYTILENE                 0                        858                      B
049CXR1M852084           ALANA                    FOREMAN                  AMSTERDAM                0                        1380                     B
7155F1N1A559D8X76        BRUCE                    KAPOOR                   LARNACA                  0                        190                      B
U80724124097A4           JEMMA                    ADLER                    CANBERRA                 0                        232                      B
W83237047923U09A         CHARLES                  HADLEY                   IOANNINA                 0                        993                      B
LQ524758A5X514           CHANDLER                 UNDERWOOD                RABAT                    0                        681                      B
1B971M7B8F33D4           COURTNEY                 BURROWS                  JERUSALEM                0                        1210                     B
0309N06071382736         GAVIN                    KENT                     RABAT                    0                        950                      B
7VL9893W3L894I7U         TONY                     MURDOCK                  MELBOURNE                0                        251                      B
MI60SQ6740593511         STEVEN                   KENT                     MARSEILLE                0                        320                      B
352E0C470216406HJ        AMY                      FLOOD                    FLORENCE                 0                        1362                     B
5284296F4S4O3Q0          MELANIE                  DANE                     WASHIGTON                0                        1197                     B
56SO21298CE107F73Q       THOMAS                   TANCERDI                 STOCKHOLM                0                        969                      B
42F9763765974            CHARLES                  CORLEONNE                LILLE                    0                        879                      B
N5R2E6O003W542           ANGELLA                  MOSS                     JERUSALEM                0                        850                      B
04A4L91688B535           JAMES                    RODGERS                  PARIS                    0                        112                      B
81V73Q2Q31943I33D8       HARLEY                   OSWALD                   PRAGUE                   0                        58                       B
3293NP201C73301397       THOMAS                   SNOW                     DOHA                     0                        1250                     B
547Y057491S45P28         SELINA                   UNDERWOOD                AMSTERDAM                0                        446                      B
694W847204366            JAMES                    LANE                     MELBOURNE                0                        77                       B
3810647X767XZ82811       MARY                     LECTER                   SAMOS                    0                        391                      B
85665815ZC21X9           PEGGY                    JONES                    BELIGRADE                0                        95                       B
TT5G2W2203IW0Q65         CLARK                    BUFFAY                   MALAGA                   0                        75                       B
B43P39LL97473487PS       PHIL                     CAGE                     HAVANA                   0                        116                      B
2E6E14639W474            AMY                      SCOFIELD                 PARIS                    0                        1327                     B
1658S52898551B8NW        BERNARD                  BUSKER                   ZAGREB                   0                        1227                     B
81P3W1D20O245            SELINA                   LOWE                     JERUSALEM                0                        379                      B
45G5371130309G           MAX                      ABERNATHY                DOHA                     0                        968                      B
X3Z8388Q32318389O0       REMY                     SMITH                    OTTAWA                   0                        368                      B
30H0818761872108         ANGELLA                  SHELBY                   LEMNOS                   0                        902                      B
450G7621U4896            GREGORY                  ALDERSON                 OTTAWA                   0                        466                      B
83794374567086           LENNY                    SCOFIELD                 WASHIGTON                0                        1213                     B
659R9L8H6Y5189           BRUCE                    KENT                     OSLO                     0                        1046                     B
214PP700MF4N259          JOEY                     WANE                     LILLE                    0                        324                      B
6632609893J74R4883       ROBERT                   CORLEONNE                BELIGRADE                0                        482                      B
L1R4DIFQX476T            ERIC                     MORGAN                   GLASGOW                  0                        22                       B
02ZA534YP24C805I         GAVIN                    CAGE                     STOCKHOLM                0                        97                       B
X240C154A8QR5F           EMMA                     WELLICK                  VOLOS                    0                        583                      B
KD08842GO03JH39          LISA                     LECTER                   VALENCIA                 0                        720                      B
A8720SN0F4D8100          OLIVER                   ALDERSON                 ZANTE                    0                        137                      B
2O5743033T21A            JOYCE                    BREAM                    LEIPZIG                  0                        1058                     B
492K70249Q9MX7085        ALANA                    TANCERDI                 VALENCIA                 0                        253                      B
008447M7OL2267M          TEDDY                    CRIMSON                  MONACO                   0                        1106                     B
259474416D464            MELANIE                  GORDON                   IOANNINA                 0                        504                      B
332FN73455E3K            LISA                     HENDRICKS                LIVERPOOL                0                        1238                     B
PD97H7G64992T1           JEAN                     LAWTON                   CAIRO                    0                        405                      B
3563PU92318960C          SHERLOCK                 OSWALD                   BASEL                    0                        1403                     B
746304Y52338458249       CLARK                    CASTLE                   ALEXANDROUPOLI           0                        21                       B
2144827753S2V65561       BRUCE                    QUEEN                    SYDNEY                   0                        1102                     B
5G0MX839T016Q73          REMY                     RICHARDS                 SARAJEVO                 0                        1406                     B
5422D467I173301          MAEVE                    GREY                     PERTH                    0                        821                      B
X01S48564Y934L           LUKE                     WANE                     IOANNINA                 0                        86                       B
6S07D720W642K97          SONNY                    QUINN                    BERLIN                   0                        193                      B
19ON92FENL9RL2           SONNY                    STARK                    BANGKOK                  0                        714                      B
00771670HS16X55          MELINDA                  HALLER                   VALENCIA                 0                        189                      B
295CD8X60K448JK          JOANNA                   ORGANA                   PERTH                    0                        587                      B
6YZY32075Z427059C        BRUCE                    MILLAY                   LARNACA                  0                        935                      B
520JB962P66O864LC0       MICHAEL                  LOWE                     BASEL                    0                        1308                     B
O2DRB234YY327            SUSAN                    WELLICK                  LISBON                   0                        1099                     B
67N7CADB4P37R427         NAZIR                    CASTLE                   GENOA                    0                        88                       B
L47SHZNS285H88           ALFRED                   LANE                     KAVALA                   0                        1033                     B
27681213214020           MELANIE                  SIMMONS                  BILBAO                   0                        711                      B
93W547648H37013          JEAN                     JONES                    LILLE                    0                        1307                     B
053PD798192505E761       MOLLY                    SANCHEZ                  JOHANNESBURG             0                        1028                     B
625T52467129919I12       BARRY                    HOOPER                   BARCELONA                0                        456                      B
0335O919Z316141          LAURIE                   GREEN                    NAPOLI                   0                        890                      B
OHC635Z367970            HANNIBAL                 ALDERSON                 RABAT                    0                        1030                     B
C2E6123869444724         HARLEY                   BREAM                    PERTH                    0                        685                      B
559K3861132F24L24        HANNAH                   BLOOM                    GUATEMALA                0                        705                      B
21891B4385422            DEXTER                   HADLEY                   LAGOS                    0                        789                      B
709V84320242280H1S       HARVEY                   CAMERON                  LIVERPOOL                0                        1242                     B
D015VP9FZ517B            CLARK                    KANE                     PARIS                    0                        835                      B
HW232VE822115LL49        LENNY                    JONES                    LARNACA                  0                        1045                     B
9950JE4Q656Y80           RACHEL                   LANNISTER                BANGKOK                  0                        484                      B
1673476F738N5C501        MOLLY                    GRAHAM                   TORONTO                  0                        538                      B
03187001D66K75W          GRACE                    ALLEN                    LAGOS                    0                        326                      B
3220188KU0J303USX        CHANDRA                  BIRD                     COPEGHAGEN               0                        812                      B
9M826A8I9T5A3313         MATTHEW                  TRIBBIANI                MALAGA                   0                        1004                     B
95ZB007801NB089H         JOYCE                    HARRINGTON               PARIS                    0                        1291                     B
P772COM48C09EE9          SUSAN                    DENT                     GLASGOW                  0                        789                      B
R7587200J648741922       MIRANDA                  COULSON                  VOLOS                    0                        1191                     B
X8YP5117I0468T4HX        RICHARD                  QUINN                    MONTEVIDEO               0                        475                      B
5EG99928P93WRCS          DAISY                    JENSEN                   FLORENCE                 0                        55                       B
281QT39994UD323V         SYD                      CRIMSON                  HERAKLION                0                        393                      B
4150S1W2Y379871U         DEXTER                   JOHNSON                  BASEL                    0                        386                      B
4QADBS73C1S7WQ5TUA       BETH                     KAPOOR                   NAPOLI                   0                        577                      B
98WG27457916H7           DAVID                    QUEEN                    LILLE                    0                        1112                     B
543140KK48NA3            RICHARD                  BREAM                    SARAJEVO                 0                        1027                     B
IJ0800U7HMT4024          LEIA                     CORLEONNE                VIGO                     0                        355                      B
236069M96578132N9        WALTER                   FORD                     IOANNINA                 0                        52                       B
849654K05EMMD            CHANDLER                 MAY                      IOANNINA                 0                        518                      B
0R7I1CRH31082            AMY                      HARRINGTON               CHANIA                   0                        1082                     B
7646E3U123Z5TV7          FLOYD                    TYLER                    LEEDS                    0                        412                      B
67348H855305U            COURTNEY                 SNOW                     WARSAW                   0                        171                      B
27WH879F6286714          STEVE                    STORM                    FRANKFURT                0                        825                      B
282024C41F67V4V675       COURTNEY                 BELSON                   SOFIA                    0                        249                      B
60192M66X294320          GRACE                    WHEELER                  PERTH                    0                        1031                     B
2S52U0Q244067DK          IRENE                    SULLIVAN                 BOLOGNA                  0                        189                      B
1137MO1837681            ROBERT                   SNOW                     WASHIGTON                0                        751                      B
13I9915806A0D            DAVID                    JONES                    RHODES                   0                        497                      B
P9779M330023Z93          JON                      DENT                     LILLE                    0                        577                      B
01W17831741100568        LANA                     BELSON                   HERAKLION                0                        873                      B
6448Q280592213Q          RITA                     BAYERS                   CASABLANCA               0                        719                      B
98X5X8884837U31          NANCY                    BREAM                    DOHA                     0                        406                      B
70953929313620Y0         WILL                     ALLEN                    BANGKOK                  0                        925                      B
397T92313I32302          CLAY                     SANCHEZ                  RECIFE                   0                        1049                     B
3D00W615H220852UV        FLOYD                    SINCLAIR                 BILBAO                   0                        1021                     B
Y4J3S19N50010789E0       BARBARA                  CUDDY                    NAPOLI                   0                        248                      B
H75C55C88HX28U03         REMY                     HADLEY                   MONACO                   0                        425                      B
Z033B29U75403A89G4       DOLORES                  SMITH                    LEIPZIG                  0                        221                      B
68264930170S4OU          SHERLOCK                 DARKHOLME                BANGKOK                  0                        673                      B
733T9B68842Y53K749       CLARA                    HOOPER                   LONDON                   0                        1124                     B
96U19W65860V2SE2         HANNIBAL                 WANE                     BREMEN                   0                        579                      B
58N459V8A818J            MONICCA                  DURANT                   MYTILENE                 0                        1202                     B
